Key,Source,Context,Changes,English,Japanese
perkCriticalRate01Desc,progression,Skills,,"Critical rate +10%","クリティカル確率+10%"
perkCriticalRate02Desc,progression,Skills,,"Critical rate +30%","クリティカル確率+30%"
perkCriticalRate03Desc,progression,Skills,,"Critical rate +60%","クリティカル確率+60%"
perkCriticalRate04Desc,progression,Skills,,"Critical rate +100%","クリティカル確率+100%"
perkCriticalRate05Desc,progression,Skills,,"Critical rate +150%","クリティカル確率+150%"
perkCriticalRate01LongDesc,progression,Skills,,"Increases critical rate.","クリティカル確率が増加します。"
perkCriticalMultiplierName,progression,perk,,"Critical attack! (Multiplier)","いざクリティカル！(倍率)"
perkCriticalMultiplierDesc,probability,perk,,"New critical attack systems","新しいクリティカル攻撃のシステム"
perkCriticalMultiplier01Desc,progression,Skills,,"Critical multiplier x1.1","クリティカル倍率 x1.1"
perkCriticalMultiplier02Desc,progression,Skills,,"Critical multiplier x1.3","クリティカル倍率 x1.3"
perkCriticalMultiplier03Desc,progression,Skills,,"Critical multiplier x1.6","クリティカル倍率 x1.6"
perkCriticalMultiplier04Desc,progression,Skills,,"Critical multiplier x2.0","クリティカル倍率 x2.0"
perkCriticalMultiplier05Desc,progression,Skills,,"Critical multiplier x2.5","クリティカル倍率 x2.5"
perkCriticalMultiplier01LongDesc,progression,Skills,,"Increases critical multiplier.","クリティカル倍率が増加します。"
perkReloadSpeedName,progression,perk,,"Reload Revolution","リロードの革命"
perkReloadSpeedDesc,probability,perk,,"Faster Reload Speed","リロードの高速化"
perkReloadSpeed01Desc,progression,Skills,,"Reload Speed x0.9","リロード速度 x0.9"
perkReloadSpeed02Desc,progression,Skills,,"Reload Speed x0.8","リロード速度 x0.8"
perkReloadSpeed03Desc,progression,Skills,,"Reload Speed x0.7","リロード速度 x0.7"
perkReloadSpeed04Desc,progression,Skills,,"Reload Speed x0.6","リロード速度 x0.6"
perkReloadSpeed05Desc,progression,Skills,,"Reload Speed x0.5","リロード速度 x0.5"
perkReloadSpeed01LongDesc,progression,Skills,,"Increases Reload Speed.","リロード速度が上がります。"
perkMovementSpeedName,progression,perk,,"Movement Speed Revolution","移動速度の革命"
perkMovementSpeedDesc,probability,perk,,"Faster Movement Speed","移動速度の高速化"
perkMovementSpeed01Desc,progression,Skills,,"Movement Speed x1.1","移動速度 x1.1"
perkMovementSpeed02Desc,progression,Skills,,"Movement Speed x1.2","移動速度 x1.2"
perkMovementSpeed03Desc,progression,Skills,,"Movement Speed x1.3","移動速度 x1.3"
perkMovementSpeed04Desc,progression,Skills,,"Movement Speed x1.6","移動速度 x1.6"
perkMovementSpeed05Desc,progression,Skills,,"Movement Speed x2.0","移動速度 x2.0"
perkJumpBoostName,progression,perk,,"Jump Power Revolution","ジャンプ力の革命"
perkJumpBoostDesc,probability,perk,,"Increases Jump Height","ジャンプ力の向上"
perkJumpBoost01Desc,progression,Skills,,"Jump Height x1.1","ジャンプ力 x1.1"
perkJumpBoost02Desc,progression,Skills,,"Jump Height x1.2","ジャンプ力 x1.2"
perkJumpBoost03Desc,progression,Skills,,"Jump Height x1.3","ジャンプ力 x1.3"
perkJumpBoost04Desc,progression,Skills,,"Jump Height x1.5","ジャンプ力 x1.5"
perkJumpBoost05Desc,progression,Skills,,"Jump Height x2.0","ジャンプ力 x2.0"
perkJumpBoost01LongDesc,progression,Skills,,"Increases Jump Height.","ジャンプ力が上がります。"
perkMovementSpeed01LongDesc,progression,Skills,,"Increases Movement Speed.","移動速度が上がります。"
perkMagazineSizeName,progression,perk,,"Free From Magazine Worries","マガジンの悩みからの解放"
perkMagazineSizeDesc,probability,perk,,"More Magazine Size","マガジンサイズの増加"
perkMagazineSize01Desc,progression,Skills,,"Magazine Size x1.2","マガジンサイズ x1.2"
perkMagazineSize02Desc,progression,Skills,,"Magazine Size x1.5","マガジンサイズ x1.5"
perkMagazineSize03Desc,progression,Skills,,"Magazine Size x2.0","マガジンサイズ x2.0"
perkMagazineSize04Desc,progression,Skills,,"Magazine Size x2.5","マガジンサイズ x2.5"
perkMagazineSize05Desc,progression,Skills,,"Magazine Size x3.0","マガジンサイズ x3.0"
perkMagazineSize01LongDesc,progression,Skills,,"Increased Magazine Size.","マガジンサイズが増加します"
statCriticalRate,ui_display,Item stat,,"Critical Rate","クリティカル率"
